Date,Adj Close
2018-04-12,3.0543
2018-04-13,3.071955
2018-04-16,3.169057
2018-04-17,3.195539
2018-04-18,3.274987
2018-04-19,3.425053
2018-04-20,3.469191
2018-04-23,3.495673
2018-04-24,3.160229
2018-04-26,3.23085
2018-04-27,3.292641
2018-04-30,3.283814
2018-05-01,3.257332
2018-05-02,3.292641
2018-05-03,3.425053
2018-05-04,3.319124
2018-05-07,3.398571
2018-05-08,3.354434
2018-05-09,3.398571
2018-05-10,3.442708
2018-05-11,3.478018
2018-05-14,3.53981
2018-05-15,3.495673
2018-05-16,3.5045
2018-05-17,3.557465
2018-05-18,3.53981
2018-05-21,3.433881
2018-05-22,3.398571
2018-05-23,3.363261
2018-05-24,3.327951
2018-05-25,3.310296
2018-05-28,3.257332
2018-05-29,3.257332
2018-05-30,3.222022
2018-05-31,3.283814
2018-06-01,3.345606
2018-06-04,3.425053
2018-06-05,3.363261
2018-06-06,3.380916
2018-06-07,3.425053
2018-06-08,3.398571
2018-06-12,3.345606
2018-06-13,3.319124
2018-06-14,3.363261
2018-06-15,3.442708
2018-06-18,3.398571
2018-06-19,3.301469
2018-06-20,3.292641
2018-06-21,3.319124
2018-06-22,3.204367
2018-06-25,3.186712
2018-06-26,3.142574
2018-06-27,3.151402
2018-06-28,3.160229
2018-06-29,3.186712
2018-07-02,3.213194
2018-07-03,3.151402
2018-07-04,3.142574
2018-07-05,3.116092
2018-07-06,3.195539
2018-07-09,3.222022
2018-07-10,3.257332
2018-07-11,3.213194
2018-07-12,3.177884
2018-07-13,3.204367
2018-07-16,3.204367
2018-07-17,3.133748
2018-07-18,3.160229
2018-07-19,3.222022
2018-07-20,3.124919
2018-07-23,3.080782
2018-07-24,3.151402
2018-07-25,3.204367
2018-07-26,3.195539
2018-07-27,3.204367
2018-07-30,3.160229
2018-07-31,3.151402
2018-08-01,3.186712
2018-08-02,3.107265
2018-08-03,3.027818
2018-08-06,3.071955
2018-08-07,3.071955
2018-08-08,3.107265
2018-08-09,3.204367
2018-08-10,3.204367
2018-08-13,3.133748
2018-08-14,3.116092
2018-08-15,3.001335
2018-08-16,2.983681
2018-08-17,2.966025
2018-08-20,2.974853
2018-08-21,2.904233
2018-08-22,2.877751
2018-08-23,3.01899
2018-08-24,2.992508
2018-08-27,2.983681
2018-08-28,3.08961
2018-08-29,3.151402
2018-08-30,3.160229
2018-08-31,3.071955
2018-09-03,3.08961
2018-09-04,3.063128
2018-09-05,2.992508
2018-09-06,3.063128
2018-09-07,3.080782
2018-09-10,3.133748
2018-09-11,3.204367
2018-09-12,3.213194
2018-09-13,3.336699
2018-09-14,3.390954
2018-09-17,3.445209
2018-09-18,3.445209
2018-09-19,3.517549
2018-09-20,3.481379
2018-09-21,3.526592
2018-09-24,3.481379
2018-09-25,3.526592
2018-09-26,3.544677
2018-09-27,3.517549
2018-09-28,3.544677
2018-10-01,3.508507
2018-10-02,3.535634
2018-10-03,3.580847
2018-10-04,3.843081
2018-10-05,3.824996
2018-10-08,3.617017
2018-10-09,3.635102
2018-10-10,3.553719
2018-10-11,3.445209
2018-10-12,3.508507
2018-10-15,3.454252
2018-10-16,3.481379
2018-10-17,3.454252
2018-10-18,3.481379
2018-10-19,3.399996
2018-10-22,3.418081
2018-10-23,3.372869
2018-10-24,3.300529
2018-10-25,3.182975
2018-10-26,3.173933
2018-10-29,3.182975
2018-10-30,3.264358
2018-10-31,3.2734
2018-11-01,3.246273
2018-11-02,3.309571
2018-11-05,3.291486
2018-11-06,3.336699
2018-11-07,3.309571
2018-11-08,3.291486
2018-11-09,3.20106
2018-11-12,3.192018
2018-11-13,3.110635
2018-11-14,3.029252
2018-11-15,3.011167
2018-11-16,3.05638
2018-11-19,2.993082
2018-11-20,2.956912
2018-11-21,2.830316
2018-11-22,2.848401
2018-11-23,2.857444
2018-11-26,2.803188
2018-11-27,2.812231
2018-11-28,2.794145
2018-11-29,2.839359
2018-11-30,2.803188
2018-12-03,3.002124
2018-12-04,2.902656
2018-12-05,2.920741
2018-12-06,2.821273
2018-12-07,2.794145
2018-12-10,2.748933
2018-12-11,2.794145
2018-12-12,2.875529
2018-12-13,2.938826
2018-12-14,2.965954
2018-12-17,3.038294
2018-12-18,3.011167
2018-12-19,2.993082
2018-12-20,2.848401
2018-12-21,2.875529
2018-12-24,2.929784
2018-12-27,3.029252
2018-12-28,3.065423
2018-12-31,3.029252
2019-01-02,2.956912
2019-01-03,2.938826
2019-01-04,2.965954
2019-01-07,3.047337
2019-01-08,3.065423
2019-01-09,3.074465
2019-01-10,3.101592
2019-01-11,3.074465
2019-01-14,3.074465
2019-01-15,3.074465
2019-01-16,3.011167
2019-01-17,3.119677
2019-01-18,3.083507
2019-01-21,3.065423
2019-01-22,3.038294
2019-01-23,3.020209
2019-01-24,2.993082
2019-01-25,2.974996
2019-01-29,3.047337
2019-01-30,3.110635
2019-01-31,3.192018
2019-02-01,3.16489
2019-02-04,3.119677
2019-02-05,3.173933
2019-02-06,3.192018
2019-02-07,3.345741
2019-02-08,3.291486
2019-02-11,3.345741
2019-02-12,3.336699
2019-02-13,3.318613
2019-02-14,3.436167
2019-02-15,3.445209
2019-02-18,3.481379
2019-02-19,3.517549
2019-02-20,3.535634
2019-02-21,3.499464
2019-02-22,3.463294
2019-02-25,3.553719
2019-02-26,3.517549
2019-02-27,3.571804
2019-02-28,3.535634
2019-03-01,3.535634
2019-03-04,3.535634
2019-03-05,3.526592
2019-03-06,3.517549
2019-03-07,3.475668
2019-03-08,3.439274
2019-03-11,3.430175
2019-03-12,3.457471
2019-03-13,3.475668
2019-03-14,3.502964
2019-03-15,3.46657
2019-03-18,3.512062
2019-03-19,3.53026
2019-03-20,3.493865
2019-03-21,3.493865
2019-03-22,3.521161
2019-03-25,3.421077
2019-03-26,3.393781
2019-03-27,3.348288
2019-03-28,3.402879
2019-03-29,3.393781
2019-04-01,3.411978
2019-04-02,3.46657
2019-04-03,3.557556
2019-04-04,3.53026
2019-04-05,3.475668
2019-04-08,3.53026
2019-04-09,3.430175
2019-04-10,3.366485
2019-04-11,3.257302
2019-04-12,3.220907
2019-04-15,3.184513
2019-04-16,3.20271
2019-04-17,3.193612
2019-04-18,3.175414
2019-04-23,3.157217
2019-04-24,3.093527
2019-04-26,3.102625
2019-04-29,3.029836
2019-04-30,3.038935
2019-05-01,3.029836
2019-05-02,3.038935
2019-05-03,3.011639
2019-05-06,3.002541
2019-05-07,3.057132
2019-05-08,3.002541
2019-05-09,2.984344
2019-05-10,2.993442
2019-05-13,3.038935
2019-05-14,3.093527
2019-05-15,3.148118
2019-05-16,3.20271
2019-05-17,3.20271
2019-05-20,3.193612
2019-05-21,3.148118
2019-05-22,3.166316
2019-05-23,3.139019
2019-05-24,3.129921
2019-05-27,3.148118
2019-05-28,3.129921
2019-05-29,3.057132
2019-05-30,2.993442
2019-05-31,3.020738
2019-06-03,2.975245
2019-06-04,2.947949
2019-06-05,2.93885
2019-06-06,2.911554
2019-06-07,2.947949
2019-06-11,2.929752
2019-06-12,2.957047
2019-06-13,2.929752
2019-06-14,3.011639
2019-06-17,2.884259
2019-06-18,2.884259
2019-06-19,2.929752
2019-06-20,2.902456
2019-06-21,2.929752
2019-06-24,2.947949
2019-06-25,2.929752
2019-06-26,2.911554
2019-06-27,2.957047
2019-06-28,2.893358
2019-07-01,2.911554
2019-07-02,2.993442
2019-07-03,2.984344
2019-07-04,2.93885
2019-07-05,2.87516
2019-07-08,2.87516
2019-07-09,2.856963
2019-07-10,2.784174
2019-07-11,2.866061
2019-07-12,2.847865
2019-07-15,2.829667
2019-07-16,2.765977
2019-07-17,2.756878
2019-07-18,2.711385
2019-07-19,2.738681
2019-07-22,2.81147
2019-07-23,2.838765
2019-07-24,2.847865
2019-07-25,2.87516
2019-07-26,2.87516
2019-07-29,2.884259
2019-07-30,2.87516
2019-07-31,2.856963
2019-08-01,2.820568
2019-08-02,2.711385
2019-08-05,2.602202
2019-08-06,2.538512
2019-08-07,2.520314
2019-08-08,2.574906
2019-08-09,2.620399
2019-08-12,2.565807
2019-08-13,2.593103
2019-08-14,2.665892
2019-08-15,2.547611
2019-08-16,2.511216
2019-08-19,2.565807
2019-08-20,2.574906
2019-08-21,2.502117
2019-08-22,2.392935
2019-08-23,2.238258
2019-08-26,2.247356
2019-08-27,2.229159
2019-08-28,2.311046
2019-08-29,2.338342
2019-08-30,2.402033
2019-09-02,2.402033
2019-09-03,2.456624
2019-09-04,2.438427
2019-09-05,2.465723
2019-09-06,2.538512
2019-09-09,2.493019
2019-09-10,2.447525
2019-09-11,2.529413
2019-09-12,2.548854
2019-09-13,2.595029
2019-09-16,2.595029
2019-09-17,2.521149
2019-09-18,2.511914
2019-09-19,2.521149
2019-09-20,2.558089
2019-09-23,2.530384
2019-09-24,2.447269
2019-09-25,2.410329
2019-09-26,2.373389
2019-09-27,2.4288
2019-09-30,2.419564
2019-10-01,2.447269
2019-10-02,2.354919
2019-10-03,2.271804
2019-10-04,2.244099
