Date,S&P/ASX 50
3/9/2023,7167.57
3/10/2023,7007.74
3/13/2023,6976.52
3/14/2023,6885.82
3/15/2023,6943.15
3/16/2023,6838.88
3/17/2023,6868.82
3/20/2023,6774.51
3/21/2023,6826.01
3/22/2023,6889.73
3/23/2023,6850.67
3/24/2023,6834.62
3/27/2023,6836.49
3/28/2023,6895.05
3/29/2023,6917.43
3/30/2023,6988.83
3/31/2023,7048.7
