Date,Adj Close
2018-04-12,6.349887
2018-04-13,6.316333
2018-04-16,6.282782
2018-04-17,6.291171
2018-04-18,6.316333
2018-04-19,6.341499
2018-04-20,6.316333
2018-04-23,6.33311
2018-04-24,6.52604
2018-04-26,6.551205
2018-04-27,6.593145
2018-04-30,6.626699
2018-05-01,6.677027
2018-05-02,6.76091
2018-05-03,6.81124
2018-05-04,6.76091
2018-05-07,6.76091
2018-05-08,6.802851
2018-05-09,6.828016
2018-05-10,6.853181
2018-05-11,6.895122
2018-05-14,6.962228
2018-05-15,6.970616
2018-05-16,7.029333
2018-05-17,7.04611
2018-05-18,6.945453
2018-05-21,6.945453
2018-05-22,6.878345
2018-05-23,6.836404
2018-05-24,6.802851
2018-05-25,6.786074
2018-05-28,6.777687
2018-05-29,6.794463
2018-05-30,6.769299
2018-05-31,6.819629
2018-06-01,6.794463
2018-06-04,6.920287
2018-06-05,6.886734
2018-06-06,6.844791
2018-06-07,6.794463
2018-06-08,6.71897
2018-06-12,6.769299
2018-06-13,6.71897
2018-06-14,6.660251
2018-06-15,6.769299
2018-06-18,6.895122
2018-06-19,7.062887
2018-06-20,7.088051
2018-06-21,7.255816
2018-06-22,7.188709
2018-06-25,7.188709
2018-06-26,7.197097
2018-06-27,7.163547
2018-06-28,7.146769
2018-06-29,7.155156
2018-07-02,7.096439
2018-07-03,6.869957
2018-07-04,6.828016
2018-07-05,6.945453
2018-07-06,6.945453
2018-07-09,6.895122
2018-07-10,6.81124
2018-07-11,6.727358
2018-07-12,6.802851
2018-07-13,6.853181
2018-07-16,6.794463
2018-07-17,6.702193
2018-07-18,6.71897
2018-07-19,6.685417
2018-07-20,6.693802
2018-07-23,6.601533
2018-07-24,6.727358
2018-07-25,6.710581
2018-07-26,6.677027
2018-07-27,6.727358
2018-07-30,6.727358
2018-07-31,6.744134
2018-08-01,6.81124
2018-08-02,6.819629
2018-08-03,6.81124
2018-08-06,6.76091
2018-08-07,6.727358
2018-08-08,6.81124
2018-08-09,6.920287
2018-08-10,6.911898
2018-08-13,6.970616
2018-08-14,6.911898
2018-08-15,6.509263
2018-08-16,6.693802
2018-08-17,6.52604
2018-08-20,6.576369
2018-08-21,6.507506
2018-08-22,6.516114
2018-08-23,6.576369
2018-08-24,6.541938
2018-08-27,6.498898
2018-08-28,6.56776
2018-08-29,6.550546
2018-08-30,6.636624
2018-08-31,6.645232
2018-09-03,6.593585
2018-09-04,6.541938
2018-09-05,6.481683
2018-09-06,6.421428
2018-09-07,6.430037
2018-09-10,6.430037
2018-09-11,6.275096
2018-09-12,6.292312
2018-09-13,6.249272
2018-09-14,6.352566
2018-09-17,6.335351
2018-09-18,6.378389
2018-09-19,6.386998
2018-09-20,6.369781
2018-09-21,6.369781
2018-09-24,6.352566
2018-09-25,6.326742
2018-09-26,6.25788
2018-09-27,6.25788
